date,sales_accuracy,customer_accuracy,actual_sales,predicted_sales,actual_customers,predicted_customers
2023-08-30,84.65125553405426,75.65043023292054,20807.53,24001.224609375,94.0,116.88859558105469
2023-08-31,77.64452504549865,82.23002751668295,20121.480000000003,24619.732421875,96.0,113.05917358398438
2023-09-01,96.36041013312246,94.15971709460747,25487.06,24559.435546875,123.0,115.81645202636719
2023-09-02,94.29498431912383,85.34943396303834,28131.4,29736.30078125,119.0,136.43417358398438
2023-09-03,95.49768695961323,90.18073611789279,30265.36,28902.71875,144.0,129.86026000976562
2023-09-04,60.70135773447799,56.15738429380267,18701.65,26051.14453125,89.0,128.01992797851562
2023-09-05,95.4125307212779,86.59312454695554,19890.53,20803.001953125,97.0,110.00466918945312
2023-09-06,96.9384703728104,77.91729438595655,17410.190000000002,16877.171875,82.0,100.10781860351562
2023-09-07,68.92427203883022,71.61231994628906,27181.910000000003,18734.93359375,140.0,100.25724792480469
2023-09-08,91.34557026808307,90.37751570991848,24596.480000000003,22467.794921875,115.0,126.06585693359375
2023-09-09,70.79821302161069,86.51806967599052,32321.04,22882.71875,140.0,121.12529754638672
2023-09-10,77.6872808352949,83.07974127274525,36998.43,28743.07421875,158.0,131.2659912109375
2023-09-11,91.36454300470365,84.06663782456341,24708.46,26842.1484375,102.0,118.25202941894531
2023-09-12,81.22379225941157,96.27677372523716,22781.02,27058.431640625,112.0,116.17001342773438
2023-09-13,56.00766673980834,56.363480179398145,16178.650000000001,23296.015625,81.0,116.3455810546875
2023-09-14,94.80482300104674,74.6808369954427,20329.64,21385.80078125,90.0,112.78724670410156
2023-09-15,93.30381615157472,93.33071927411841,24389.82,22756.6328125,109.0,116.26951599121094
2023-09-16,86.06730549125093,96.46231583722933,28220.71,24288.8046875,127.0,131.49285888671875
2023-09-17,70.00845283803505,84.80948023049228,38234.2,26767.171875,166.0,140.7837371826172
2023-09-18,94.77119125465121,89.01268287941261,23286.95,24504.580078125,108.0,119.86630249023438
2023-09-19,0.0,0.0,11345.02,23268.85546875,52.0,118.39783477783203
2023-09-20,15.542231357894352,32.18365293560606,13622.119999999999,25127.05859375,66.0,110.7587890625
2023-09-21,99.7444683338698,99.96191530811544,18485.05,18532.28515625,98.0,98.03732299804688
2023-09-22,50.50443751857841,35.845409984319986,13792.900000000001,20619.7734375,71.0,116.54975891113281
2023-09-23,96.68593074281472,89.93416164232337,26647.56,25764.44140625,115.0,126.57571411132812
2023-09-24,74.79591451022713,92.96610583997753,35201.93,26329.60546875,146.0,135.7305145263672
2023-09-25,65.43175768613096,56.77838134765625,22030.59,29646.177734375,100.0,143.22161865234375
2023-09-26,65.05278753148053,65.70615266498766,23955.29,32326.99609375,114.0,153.09498596191406
2023-09-27,14.821089160306244,33.60190298043045,20208.32,37421.546875,102.0,169.72605895996094
2023-09-28,0.0,0.0,12458.359999999999,27487.12890625,52.0,144.6575164794922
2023-09-29,35.97165814457925,13.848480620941558,17611.1,28887.1953125,77.0,143.336669921875
2023-09-30,70.20734869556345,41.716607726446476,23371.010000000002,30333.853515625,101.0,159.86622619628906
2023-10-01,45.4290575840886,69.99465076163347,53680.28,24386.4453125,229.0,160.28775024414062
2023-10-02,53.31000509727924,93.80514332324783,43481.53,23180.005859375,173.0,183.71710205078125
2023-10-03,70.88163832859692,14.403296029695895,22911.17,29582.52734375,93.0,172.6049346923828
2023-10-04,0.0,0.0,17761.43,40168.4375,83.0,189.70872497558594
2023-10-05,56.55538362466581,0.0,19187.7,27523.72265625,78.0,182.07911682128906
2023-10-06,74.16569027507371,0.0,18932.38,23823.4296875,77.0,160.84243774414062
2023-10-07,72.91049994541842,87.12095651567353,37833.28,27584.43359375,161.0,181.73526000976562
2023-10-08,69.11069493412634,65.21839239658453,43540.17,30090.9140625,156.0,210.25930786132812
2023-10-09,0.0,0.0,16446.190000000002,33280.99609375,74.0,178.24472045898438
